,School_type,Local_Ed_Auth,Estab_group,School_ID,Is_Closed,School_type_2,Rel_Denom,Selective_School,School_gender,School_feeder_sixth_form,School_primary,School_sixth_form,Num_pupils_GCSEs,Pct_Boys,DISAD_pct_GCSEpup,Prog8_overall_measure,Num_GCSEpup_all_Ebacc,Pct_GCSEpup_enter_Ebacc_Maths,Pct_GCSEpup_enter_Ebacc_Science,Pct_GCSEpup_enter_Ebacc_Humanities,Pct_GCSEpup_enter_Ebacc_Lang,Pct_GCSEpup_any_qual,Pct_GCSEpup_more_onelang,Pct_GCSEpup_3_sciences,Avg_num_GCSEs_equiv_pup,Prog8_band,Teachers_FTE,TAs_FTE,Staff_non_classroom,Pupil_Teacher_ratio,Mean_Gross_FTE_Sal
2257,0,919.0,5410.0,136877.0,0.0,ACC,None,OTHER NON SEL,MIXED,0.0,0.0,1.0,258.0,54.0,12.0,0.25,44.0,100.0,99.0,86.0,49.0,100.0,4.0,39.0,8.8,2.0,101.1,9.2,35.1,16.5,38565.0
2258,0,919.0,5411.0,137224.0,0.0,ACC,None,OTHER NON SEL,MIXED,0.0,0.0,1.0,107.0,51.0,18.0,-0.1,24.0,100.0,100.0,86.0,33.0,100.0,1.0,24.0,9.2,3.0,45.4,7.7,21.2,13.5,42816.0
2259,0,919.0,5413.0,137895.0,0.0,ACC,Roman Catholic,OTHER NON SEL,MIXED,0.0,0.0,1.0,210.0,51.0,12.0,0.46,74.0,100.0,100.0,96.0,75.0,100.0,3.0,42.0,8.8,2.0,90.6,13.8,30.1,16.7,41854.0
2260,0,919.0,5416.0,137156.0,0.0,ACC,None,OTHER NON SEL,MIXED,0.0,0.0,1.0,176.0,50.0,14.0,0.24,23.0,100.0,99.0,64.0,37.0,100.0,5.0,26.0,8.4,2.0,78.6,6.7,23.5,15.8,39710.0
2261,0,919.0,5417.0,137922.0,0.0,ACC,Roman Catholic,OTHER NON SEL,MIXED,0.0,0.0,1.0,178.0,57.0,11.0,0.21,30.0,100.0,98.0,93.0,34.0,99.0,2.0,27.0,8.8,2.0,64.3,10.7,18.8,17.2,43485.0
2262,0,919.0,5419.0,117591.0,0.0,FD,None,OTHER NON SEL,MIXED,0.0,0.0,1.0,174.0,48.0,9.0,0.13,53.0,98.0,98.0,74.0,60.0,98.0,3.0,16.0,7.9,3.0,71.9,4.1,17.4,15.1,38266.0
2264,0,919.0,5422.0,117594.0,0.0,VA,Roman Catholic,OTHER NON SEL,MIXED,0.0,0.0,1.0,151.0,50.0,12.0,0.61,63.0,99.0,97.0,93.0,64.0,99.0,2.0,22.0,8.2,1.0,59.0,7.3,17.2,16.8,40719.0
2265,0,919.0,5423.0,138360.0,0.0,ACC,Church of England,OTHER NON SEL,MIXED,0.0,0.0,1.0,185.0,46.0,26.0,0.07,55.0,100.0,100.0,88.0,60.0,100.0,8.0,13.0,8.7,3.0,74.2,18.7,30.5,16.0,39699.0
2266,0,919.0,5425.0,117596.0,0.0,FD,None,OTHER NON SEL,MIXED,0.0,0.0,0.0,44.0,59.0,32.0,0.03,18.0,100.0,98.0,98.0,18.0,100.0,2.0,0.0,9.0,3.0,18.0,5.8,12.2,13.9,42410.0
2267,0,919.0,5426.0,136607.0,0.0,ACC,None,OTHER NON SEL,MIXED,0.0,0.0,1.0,183.0,50.0,22.0,-0.14,83.0,98.0,98.0,96.0,85.0,99.0,3.0,27.0,8.5,3.0,74.6,6.4,20.8,17.2,45262.0
2268,0,919.0,6905.0,135876.0,0.0,AC,Does not apply,OTHER NON SEL,MIXED,0.0,0.0,1.0,182.0,52.0,34.0,-0.39,44.0,99.0,98.0,90.0,46.0,99.0,5.0,31.0,9.2,4.0,75.4,6.8,23.0,14.5,39365.0
2269,0,919.0,6906.0,135938.0,0.0,AC,Does not apply,OTHER NON SEL,MIXED,0.0,0.0,1.0,152.0,56.0,30.0,-0.46,49.0,99.0,99.0,88.0,54.0,100.0,7.0,23.0,8.3,4.0,60.1,11.5,25.7,18.3,38561.0
2270,0,921.0,4001.0,136753.0,0.0,AC,Does not apply,OTHER NON SEL,MIXED,0.0,0.0,1.0,179.0,55.0,28.0,-0.3,25.0,98.0,97.0,80.0,28.0,97.0,0.0,26.0,9.8,4.0,68.9,18.6,20.0,15.2,35833.0
2271,0,921.0,4004.0,140845.0,0.0,AC,None,OTHER NON SEL,MIXED,0.0,0.0,1.0,152.0,44.0,22.0,0.18,13.0,100.0,99.0,61.0,18.0,100.0,1.0,27.0,8.9,3.0,61.4,18.3,20.6,17.3,38428.0
2272,0,921.0,4030.0,136010.0,0.0,FD,None,OTHER NON SEL,MIXED,0.0,0.0,1.0,136.0,51.0,40.0,-0.56,36.0,100.0,99.0,71.0,41.0,99.0,1.0,3.0,7.3,5.0,81.4,26.4,28.2,16.6,37746.0
2273,0,921.0,4032.0,136012.0,0.0,FD,None,OTHER NON SEL,MIXED,0.0,0.0,1.0,106.0,44.0,39.0,-0.84,0.0,96.0,92.0,65.0,0.0,96.0,0.0,21.0,6.7,5.0,31.7,25.5,19.0,17.9,41693.0
2274,0,921.0,4604.0,135552.0,0.0,VA,Church of England/Roman Catholic,OTHER NON SEL,MIXED,0.0,0.0,1.0,237.0,51.0,16.0,-0.3,31.0,98.0,97.0,82.0,34.0,98.0,4.0,11.0,8.7,4.0,101.9,14.2,30.0,16.1,37870.0
