LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
884,2115,140526,5,9,2,4.8,1.9,1.1,15.1,"£38,468"
884,2116,116714,6,3,1,3.0,1.4,0.6,18.1,"£33,224"
884,2122,116718,10,8,3,10.0,4.6,1.2,13.9,"£35,484"
884,2138,116731,18,15,9,16.2,7.8,5.3,22.7,"£33,907"
884,2146,116734,8,5,3,5.0,2.3,1.2,16.9,"£37,868"
884,2148,116736,6,10,2,4.4,3.7,0.9,21.3,"£40,787"
884,2152,116740,3,1,1,2.6,0.6,0.7,7.2,SUPP
884,2154,136765,10,13,7,8.8,6.3,5.5,20.9,"£31,670"
884,2155,116743,12,5,3,8.8,4.0,2.7,23.4,"£38,335"
884,2157,116745,7,13,1,5.1,4.5,1.0,15.3,"£35,119"
884,2158,116746,12,16,5,9.5,7.8,2.7,18.7,"£33,244"
884,2159,136374,9,8,3,7.8,6.1,2.2,21.9,"£33,557"
884,2160,116748,4,3,3,4.0,2.4,1.4,18.9,"£32,670"
884,3006,116785,7,9,1,6.0,5.2,1.0,24.4,"£42,033"
884,3010,143454,6,5,1,5.0,2.9,1.0,15.6,"£38,416"
884,3015,139308,5,5,2,4.2,1.8,1.4,21.0,"£34,335"
884,3021,116795,7,4,6,5.7,2.1,2.5,17.8,"£35,963"
884,3023,116797,9,16,6,8.2,6.8,2.5,19.2,"£35,073"
884,3026,116799,11,11,2,7.8,5.4,1.0,24.6,"£36,618"
884,3035,116804,6,6,3,5.8,2.8,1.2,18.3,"£36,198"
