Column,Metafile heading,Metafile description,Methodology changes,Null field for special schools,Null field for local authority records,Null field for National (all schools) records,Null field for National (maintained schools) records
254,ATT8SCROPENG_EAL,Average Attainment 8 score per pupil for whom English is an additional language - GCSE only,Yes - see 2018 methodology sheet for methodology change,,,Yes,
255,ATT8SCROPENNG_EAL,Average Attainment 8 score per pupil for whom English is an additional language - non-GCSE only,Yes - see 2018 methodology sheet for methodology change,,,Yes,
256,P8PUP_EAL,Number of pupils for whom English is an additional language included in Progress 8 measure,,,,Yes,
257,TP8ADJ_EAL,Number of pupils for whom English is an additional language in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,,Yes,
258,P8MEA_EAL,Adjusted Progress 8 measure - pupils for whom English is an additional language,Yes - see 2018 methodology sheet for methodology change,,,Yes,
259,P8CILOW_EAL,Adjusted Progress 8 lower 95% confidence interval - pupils for whom English is an additional language,Yes - see 2018 methodology sheet for methodology change,,,Yes,
260,P8CIUPP_EAL,Adjusted Progress 8 upper 95% confidence interval - pupils for whom English is an additional language,Yes - see 2018 methodology sheet for methodology change,,,Yes,
261,P8MEA_EAL_ORIG,Unadjusted Progress 8 measure - pupils for whom English is an additional language,Yes - see 2018 methodology sheet for methodology change,,,Yes,
262,P8CILOW_EAL_ORIG,Unadjusted Progress 8 lower 95% confidence interval - pupils for whom English is an additional language,Yes - see 2018 methodology sheet for methodology change,,,Yes,
263,P8CIUPP_EAL_ORIG,Unadjusted Progress 8 upper 95% confidence interval - pupils for whom English is an additional language,Yes - see 2018 methodology sheet for methodology change,,,Yes,
264,ATT8SCR_GIRLS,Average Attainment 8 score per girl,,,,,
265,ATT8SCRENG_GIRLS,Average Attainment 8 score per girl for English element,Yes - see 2018 methodology sheet for methodology change,,,Yes,
266,ATT8SCRMAT_GIRLS,Average Attainment 8 score per girl for mathematics element,Yes - see 2018 methodology sheet for methodology change,,,Yes,
267,ATT8SCREBAC_GIRLS,Average Attainment 8 score per girl for EBacc element,Yes - see 2018 methodology sheet for methodology change,,,Yes,
268,ATT8SCROPEN_GIRLS,Average Attainment 8 score per girl for open element,Yes - see 2018 methodology sheet for methodology change,,,Yes,
269,ATT8SCROPENG_GIRLS,Average Attainment 8 score per girl - GCSE only,Yes - see 2018 methodology sheet for methodology change,,,Yes,
270,ATT8SCROPENNG_GIRLS,Average Attainment 8 score per girl - non-GCSE only,Yes - see 2018 methodology sheet for methodology change,,,Yes,
271,P8PUP_GIRLS,Number of girls included in Progress 8 measure,,,,Yes,
272,TP8ADJ_GIRLS,Number of girls in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,,Yes,
273,P8MEA_GIRLS,Adjusted Progress 8 measure - girls,Yes - see 2018 methodology sheet for methodology change,,,Yes,
274,P8CILOW_GIRLS,Adjusted Progress 8 lower 95% confidence interval - girls,Yes - see 2018 methodology sheet for methodology change,,,Yes,
275,P8CIUPP_GIRLS,Adjusted Progress 8 upper 95% confidence interval - girls,Yes - see 2018 methodology sheet for methodology change,,,Yes,
276,P8MEA_GIRLS_ORIG,Unadjusted Progress 8 measure - girls,Yes - see 2018 methodology sheet for methodology change,,,Yes,
277,P8CILOW_GIRLS_ORIG,Unadjusted Progress 8 lower 95% confidence interval - girls,Yes - see 2018 methodology sheet for methodology change,,,Yes,
278,P8CIUPP_GIRLS_ORIG,Unadjusted Progress 8 upper 95% confidence interval - girls,Yes - see 2018 methodology sheet for methodology change,,,Yes,
279,ATT8SCR_BOYS,Average Attainment 8 score per boy,,,,,
280,ATT8SCRENG_BOYS,Average Attainment 8 score per boy for English element,Yes - see 2018 methodology sheet for methodology change,,,Yes,
281,ATT8SCRMAT_BOYS,Average Attainment 8 score per boy for mathematics element,Yes - see 2018 methodology sheet for methodology change,,,Yes,
282,ATT8SCREBAC_BOYS,Average Attainment 8 score per boy for EBacc element,Yes - see 2018 methodology sheet for methodology change,,,Yes,
283,ATT8SCROPEN_BOYS,Average Attainment 8 score per boy for open element,Yes - see 2018 methodology sheet for methodology change,,,Yes,
284,ATT8SCROPENG_BOYS,Average Attainment 8 score per boy - GCSE only,Yes - see 2018 methodology sheet for methodology change,,,Yes,
285,ATT8SCROPENNG_BOYS,Average Attainment 8 score per boy - non-GCSE only,Yes - see 2018 methodology sheet for methodology change,,,Yes,
286,P8PUP_BOYS,Number of boys included in Progress 8 measure,,,,Yes,
287,TP8ADJ_BOYS,Number of boys in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,,Yes,
288,P8MEA_BOYS,Adjusted Progress 8 measure - boys,Yes - see 2018 methodology sheet for methodology change,,,Yes,
289,P8CILOW_BOYS,Adjusted Progress 8 lower 95% confidence interval - boys,Yes - see 2018 methodology sheet for methodology change,,,Yes,
290,P8CIUPP_BOYS,Adjusted Progress 8 upper 95% confidence interval - boys,Yes - see 2018 methodology sheet for methodology change,,,Yes,
291,P8MEA_BOYS_ORIG,Unadjusted Progress 8 measure - boys,Yes - see 2018 methodology sheet for methodology change,,,Yes,
292,P8CILOW_BOYS_ORIG,Unadjusted Progress 8 lower 95% confidence interval - boys,Yes - see 2018 methodology sheet for methodology change,,,Yes,
293,P8CIUPP_BOYS_ORIG,Unadjusted Progress 8 upper 95% confidence interval - boys,Yes - see 2018 methodology sheet for methodology change,,,Yes,
294,ATT8SCR_NMOB,Average Attainment 8 score per non-mobile pupil,,,,Yes,
295,ATT8SCRENG_NMOB,Average Attainment 8 score per non-mobile pupil for English element,Yes - see 2018 methodology sheet for methodology change,,,Yes,
296,ATT8SCRMAT_NMOB,Average Attainment 8 score per non-mobile pupil for mathematics element,Yes - see 2018 methodology sheet for methodology change,,,Yes,
297,ATT8SCREBAC_NMOB,Average Attainment 8 score per non-mobile pupil for EBacc element,Yes - see 2018 methodology sheet for methodology change,,,Yes,
298,ATT8SCROPEN_NMOB,Average Attainment 8 score per non-mobile pupil for open element,Yes - see 2018 methodology sheet for methodology change,,,Yes,
299,ATT8SCROPENG_NMOB,Average Attainment 8 score per non-mobile pupil - GCSE only,Yes - see 2018 methodology sheet for methodology change,,,Yes,
300,ATT8SCROPENNG_NMOB,Average Attainment 8 score per non-mobile pupil - non-GCSE only,Yes - see 2018 methodology sheet for methodology change,,,Yes,
301,P8PUP_NMOB,Number of non-mobile pupils included in Progress 8 measure,,,,Yes,
302,TP8ADJ_NMOB,Number of non-mobile pupils in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,,,
303,P8MEA_NMOB,Adjusted Progress 8 measure - non-mobile pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
304,P8CILOW_NMOB,Adjusted Progress 8 lower 95% confidence interval - non-mobile pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
305,P8CIUPP_NMOB,Adjusted Progress 8 upper 95% confidence interval - non-mobile pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
306,P8MEA_NMOB_ORIG,Unadjusted Progress 8 measure - non-mobile pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
307,P8CILOW_NMOB_ORIG,Unadjusted Progress 8 lower 95% confidence interval - non-mobile pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
308,P8CIUPP_NMOB_ORIG,Unadjusted Progress 8 upper 95% confidence interval - non-mobile pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
309,ATT8SCR_16,Average Attainment 8 score per pupil  - 2016,,,,,
310,P8PUP_16,Number of pupils in progress measure - 2016,,,,,
311,P8MEA_16,Progress 8 measure - 2016,,,,,
312,P8CILOW_16,Progress 8 lower 95% confidence interval - 2016,,,,,
313,P8CIUPP_16,Progress 8 upper 95% confidence interval - 2016,,,,,
314,ATT8SCR_FSM6CLA1A_16,Average Attainment 8 score per disadvantaged pupil - 2016,,,,,
315,P8PUP_FSM6CLA1A_16,Number of disadvantaged pupils in progress measure - 2016,,,,,
316,P8MEA_FSM6CLA1A_16,Progress 8 measure - disadvantaged pupils - 2016,,,,,
317,P8CILOW_FSM6CLA1A_16,Progress 8 lower 95% confidence interval - disadvantaged pupils - 2016,,,,,
318,P8CIUPP_FSM6CLA1A_16,Progress 8 upper 95% confidence interval - disadvantaged pupils - 2016,,,,,
319,ATT8SCR_NFSM6CLA1A_16,Average Attainment 8 score per non-disadvantaged pupil -  - 2016,,,,,
320,P8PUP_NFSM6CLA1A_16,Number of non-disadvantaged pupils in progress measure -  2016,,,,,
321,P8MEA_NFSM6CLA1A_16,Progress 8 measure - non-disadvantaged pupils  - 2016,,,,,
322,P8CILOW_NFSM6CLA1A_16,Progress 8 lower 95% confidence interval - non-disadvantaged pupils - 2016,,,,,
323,P8CIUPP_NFSM6CLA1A_16,Progress 8 upper 95% confidence interval - non-disadvantaged pupils - 2016,,,,,
324,ATT8SCR_17,Average Attainment 8 score per pupil  - 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
325,P8PUP_17,Number of pupils in progress measure - 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
326,P8MEA_17,Progress 8 measure - 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
327,P8CILOW_17,Progress 8 lower 95% confidence interval - 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
328,P8CIUPP_17,Progress 8 upper 95% confidence interval - 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
329,ATT8SCR_FSM6CLA1A_17,Average Attainment 8 score per disadvantaged pupil - 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
330,P8PUP_FSM6CLA1A_17,Number of disadvantaged pupils in progress measure - 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
331,P8MEA_FSM6CLA1A_17,Progress 8 measure - disadvantaged pupils - 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
332,P8CILOW_FSM6CLA1A_17,Progress 8 lower 95% confidence interval - disadvantaged pupils - 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
333,P8CIUPP_FSM6CLA1A_17,Progress 8 upper 95% confidence interval - disadvantaged pupils - 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
334,ATT8SCR_NFSM6CLA1A_17,Average Attainment 8 score per non-disadvantaged pupil -  - 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
335,P8PUP_NFSM6CLA1A_17,Number of non-disadvantaged pupils in progress measure -  2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
336,P8MEA_NFSM6CLA1A_17,Progress 8 measure - non-disadvantaged pupils  - 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
337,P8CILOW_NFSM6CLA1A_17,Progress 8 lower 95% confidence interval - non-disadvantaged pupils - 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
338,P8CIUPP_NFSM6CLA1A_17,Progress 8 upper 95% confidence interval - non-disadvantaged pupils - 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
339,TEBACC_ELO_PTQ_EE,Number of pupils in low prior attainment band with entries in all EBacc subject areas ,,,,Yes,
340,PTEBACC_ELO_PTQ_EE,EBacc entered % by low prior attainment,,,,Yes,
341,PTEBACCLO_94,EBacc achieved % by low prior attainment - with standard 9-4 passes in English and maths ,Yes - see 2018 methodology sheet for methodology change,,,Yes,
342,PTEBACCLO_95,EBacc achieved % by low prior attainment - with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,,Yes,
343,TEBACC_EAV_PTQ_EE,Number of pupils in middle prior attainment band with entries in all EBacc subject areas ,,,,Yes,
344,PTEBACC_EAV_PTQ_EE,EBacc entered % by middle prior attainment,,,,Yes,
345,PTEBACCAV_94,EBacc achieved % by middle prior attainment - with 9-4/A*-C passes,Yes - see 2018 methodology sheet for methodology change,,,Yes,
346,PTEBACCAV_95,EBacc achieved % by middle prior attainment - with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,,Yes,
347,TEBACC_EHI_PTQ_EE,Number of pupils in high prior attainment band with entries in all EBacc subject areas ,,,,Yes,
348,PTEBACC_EHI_PTQ_EE,EBacc entered % by high prior attainment,,,,Yes,
349,PTEBACCHI_94,EBacc achieved % by high prior attainment - with 9-4/A*-C passes,Yes - see 2018 methodology sheet for methodology change,,,Yes,
350,PTEBACCHI_95,EBacc achieved % by high prior attainment - with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,,Yes,
351,PTEBACC_EFSM6CLA1A_PTQ_EE,% of disadvantaged pupils entering all English Baccalaureate subject areas,,,,Yes,
352,PTEBACC_ENFSM6CLA1A_PTQ_EE, % of non-disadvantaged pupils entering all English Baccalaureate subject areas,,,,Yes,
353,PTEBACC_94_FSM6CLA1A, % of disadvantaged pupils achieving the English Baccalaureate - with 9-4/A*-C passes,Yes - see 2018 methodology sheet for methodology change,,,Yes,
354,PTEBACC_95_FSM6CLA1A, % of disadvantaged pupils achieving the English Baccalaureate - with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,,Yes,
355,PTEBACC_94_NFSM6CLA1A, % of non-disadvantaged pupils achieving the English Baccalaureate - with 9-4/A*-C passes,Yes - see 2018 methodology sheet for methodology change,,,Yes,
356,PTEBACC_95_NFSM6CLA1A, % of non-disadvantaged pupils achieving the English Baccalaureate - with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,,Yes,
357,SCIVAMEA_LO_PTQ_EE,English Baccalaureate Science Value Added measure for pupils with low prior attainment,,,Yes,Yes,
358,SCIVAMEA_AV_PTQ_EE,English Baccalaureate Science Value Added measure for pupils with middle prior attainment,,,Yes,Yes,
359,SCIVAMEA_HI_PTQ_EE,English Baccalaureate Science Value Added measure for pupils with high prior attainment,,,Yes,Yes,
360,SCIVAMEA_FSM6CLA1A_PTQ_EE,English Baccalaureate Science Value Added measure for disadvantaged pupils,,,Yes,Yes,
361,SCIVAMEA_NFSM6CLA1A_PTQ_EE,English Baccalaureate Science Value Added measure for non-disadvantaged pupils,,,Yes,Yes,
362,HUMVAMEA_LO_PTQ_EE,English Baccalaureate Humanities Value Added measure for pupils with low prior attainment,,,Yes,Yes,
363,HUMVAMEA_AV_PTQ_EE,English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment,,,Yes,Yes,
364,HUMVAMEA_HI_PTQ_EE,English Baccalaureate Humanities Value Added measure for pupils with high prior attainment,,,Yes,Yes,
365,HUMVAMEA_FSM6CLA1A_PTQ_EE,English Baccalaureate Humanities Value Added measure for disadvantaged pupils,,,Yes,Yes,
366,HUMVAMEA_NFSM6CLA1A_PTQ_EE,English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils,,,Yes,Yes,
367,LANVAMEA_LO_PTQ_EE,English Baccalaureate Languages Value Added measure for pupils with low prior attainment,,,Yes,Yes,
368,LANVAMEA_AV_PTQ_EE,English Baccalaureate Languages Value Added measure for pupils with middle prior attainment,,,Yes,Yes,
369,LANVAMEA_HI_PTQ_EE,English Baccalaureate Languages Value Added measure for pupils with high prior attainment,,,Yes,Yes,
370,LANVAMEA_FSM6CLA1A_PTQ_EE,English Baccalaureate Languages Value Added measure for disadvantaged pupils,,,Yes,Yes,
371,LANVAMEA_NFSM6CLA1A_PTQ_EE,English Baccalaureate Languages Value Added measure for non-disadvantaged pupils,,,Yes,Yes,
372,SCIVAUPP_FSM6CLA1A_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for disadvantaged pupils,,,Yes,Yes,Yes
373,SCIVALOW_FSM6CLA1A_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for disadvantaged pupils,,,Yes,Yes,Yes
374,SCIVAUPP_NFSM6CLA1A_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes
375,SCIVALOW_NFSM6CLA1A_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes
376,SCIVAUPP_LO_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes
377,SCIVALOW_LO_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes
378,SCIVAUPP_AV_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes
379,SCIVALOW_AV_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes
380,SCIVAUPP_HI_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes
381,SCIVALOW_HI_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes
382,HUMVAUPP_FSM6CLA1A_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for disadvantaged pupils,,,Yes,Yes,Yes
383,HUMVALOW_FSM6CLA1A_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for disadvantaged pupils,,,Yes,Yes,Yes
384,HUMVAUPP_NFSM6CLA1A_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes
385,HUMVALOW_NFSM6CLA1A_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes
386,HUMVAUPP_LO_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes
387,HUMVALOW_LO_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes
388,HUMVAUPP_AV_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes
389,HUMVALOW_AV_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes
390,HUMVAUPP_HI_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes
391,HUMVALOW_HI_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes
392,LANVAUPP_FSM6CLA1A_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for disadvantaged pupils,,,Yes,Yes,Yes
393,LANVALOW_FSM6CLA1A_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for disadvantaged pupils,,,Yes,Yes,Yes
394,LANVAUPP_NFSM6CLA1A_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes
395,LANVALOW_NFSM6CLA1A_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes
396,LANVAUPP_LO_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes
397,LANVALOW_LO_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes
398,LANVAUPP_AV_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes
399,LANVALOW_AV_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes
400,LANVAUPP_HI_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes
401,LANVALOW_HI_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes
402,PTEBACC_E_16_PTQ_EE,Percentage of pupils entering all English Baccalaureate subject areas in 2016,,,,,
403,PTEBACC_16_PTQ_EE,Percentage of pupils achieving the English Baccalaureate in 2016,,,,,
404,PTEBACC_E_17_PTQ_EE,% of  pupils entering all English Baccalaureate subject areas in 2017,Yes - see 2018 methodology sheet for methodology change,,,,
405,PTEBACC_94_17,% of KS4 pupils achieving the Ebacc - with standard 9-4 passes in English and maths,Yes - see 2018 methodology sheet for methodology change,,,,
406,PTEBACC_95_17,% of KS4 pupils achieving the Ebacc - with strong 9-5 passes in English and maths,Yes - see 2018 methodology sheet for methodology change,,,,
407,PBEBACC_E_PTQ_EE,Percentage of boys with entries in all English Baccalaureate subject areas,,,,,
408,PBEBACC_94,% of KS4 boys achieving the Ebacc - with 9-4/A*-C passes,Yes - see 2018 methodology sheet for methodology change,,,,
409,PBEBACC_95,% of KS4 boys achieving the Ebacc - with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,,,
410,PGEBACC_E_PTQ_EE,Percentage of girls with entries in all English Baccalaureate subject areas,,,,,
411,PGEBACC_94,% of KS4 girls achieving the Ebacc - with 9-4/A*-C passes,Yes - see 2018 methodology sheet for methodology change,,,,
412,PGEBACC_95,% of KS4 girls achieving the Ebacc - with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,,,
413,PTEBACC_ENMOB_PTQ_EE,Percentage of non-mobile pupils with entries in all English Baccalaureate subject areas,,,,Yes,
414,PTEBACCNMOB_94,Percentage of non-mobile pupils achieving the English Baccalaureate with 9-4/A*-C passes,Yes - see 2018 methodology sheet for methodology change,,,Yes,
415,PTEBACCNMOB_95,Percentage of non-mobile pupils achieving the English Baccalaureate with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,,Yes,
416,PTEBACC_EEAL_PTQ_EE,Percentage of pupils for whom English is an additional language with entries in all English Baccalaureate subject areas,,,,Yes,
417,PTEBACCEAL_94,Percentage of pupils for whom English as an additional language achieving the English Baccalaureate with 9-4/A*-C passes,Yes - see 2018 methodology sheet for methodology change,,,Yes,
418,PTEBACCEAL_95,Percentage of pupils for whom English as an additional language achieving the English Baccalaureate with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,,Yes,
419,PTEBACC_EFSM6CLA1A_16_PTQ_EE,Percentage of disadvantaged pupils entering all English Baccalaureate subject areas in 2016,,,,Yes,
420,PTEBACC_FSM6CLA1A_16_PTQ_EE,Percentage of disadvantaged pupils achieving the English Baccalaureate in 2016,,,,Yes,
421,PTEBACC_ENFSM6CLA1A_16_PTQ_EE,Percentage of non-disadvantaged pupils entering all English Baccalaureate subject areas in 2016,,,,Yes,
422,PTEBACC_NFSM6CLA1A_16_PTQ_EE,Percentage of non-disadvantaged pupils achieving the English Baccalaureate in 2016,,,,Yes,
423,PTEBACC_EFSM6CLA1A_17_PTQ_EE,% of disadvantaged pupils entering all English Baccalaureate subject areas in 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
424,PTEBACC_94_FSM6CLA1A_17_PTQ_EE,% of disadvantaged pupils achieving the English Baccalaureate including 9-4 passes in English and maths in 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
425,PTEBACC_95_FSM6CLA1A_17_PTQ_EE,% of disadvantaged pupils achieving the English Baccalaureate including 9-5 passes in English and maths in 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
426,PTEBACC_ENFSM6CLA1A_17_PTQ_EE,% of non-disadvantaged pupils entering all English Baccalaureate subject areas in 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
427,PTEBACC_94_NFSM6CLA1A_17_PTQ_EE,% of non-disadvantaged pupils achieving the English Baccalaureate including 9-4 passes in English and maths in 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
428,PTEBACC_95_NFSM6CLA1A_17_PTQ_EE,% of non-disadvantaged pupils achieving the English Baccalaureate including 9-5 passes in English and maths in 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
429,PT5EM_94,% of pupils achieving Level 2 threshold including standard passes 9-4 in both English and Maths GCSEs,Yes - see 2018 methodology sheet for methodology change,,,,
430,AC5EM16_PTQ_EE,% of KS4 pupils achieving Level 2 threshold including English and mathematics - 2016,,,,,
431,PT5EM_94_17,% of pupils achieving Level 2 threshold including standard passes 9-4 in both English and Maths GCSEs in 2017,Yes - see 2017 methodology sheet for methodology change,,,,
432,PT5EM_94_18,% of pupils achieving Level 2 threshold including standard passes 9-4 in both English and Maths GCSEs,Yes - see 2018 methodology sheet for methodology change,,,,
433,PTANYQ_PTQ_EE,Percentage of pupils achieving any qualifications,,,,,
434,PTL2BASICS_16_PTQ_EE,Percentage of pupils achieving grades A*-C in both English and mathematics GCSEs in 2016,,,,,
435,PTL2BASICS_94_17_PTQ_EE,% of pupils achieving 9-4 passes in GCSE English and maths in 2017,Yes - see 2018 methodology sheet for methodology change,,,,
436,PTL2BASICS_95_17_PTQ_EE,% of pupils achieving 9-5 passes in GCSE English and maths in 2017,Yes - see 2018 methodology sheet for methodology change,,,,
437,PTFSM6CLA1ABASICS_94,% of disadvantaged pupils achieving standard 9-4 passes in GCSE English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
438,PTNOTFSM6CLA1ABASICS_94,% of non-disadvantaged pupils achieving standard 9-4 passes in GCSE English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
439,TBASICSLO_94,Number of pupils in low prior attainment band who achieved standard 9-4 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
440,PTBASICSLO_94,% of pupils in low prior attainment band who achieved standard 9-4 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
441,TBASICSAV_94,Number of pupils in middle prior attainment band who achieved standard 9-4 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
442,PTBASICSAV_94,% pupils in middle prior attainment band who achieved standard 9-4 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
443,TBASICSHI_94,Number of pupils in high prior attainment band who achieved standard 9-4 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
444,PTBASICSHI_94,% pupils in high prior attainment band who achieved standard 9-4 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
445,PBL2BASICS_94,% of boys achieving standard 9-4 passes in both English and mathematics GCSEs ,Yes - see 2017 methodology sheet for methodology change,,,,
446,PGL2BASICS_94,% of girls achieving standard 9-4 passes in both English and mathematics GCSEs ,Yes - see 2017 methodology sheet for methodology change,,,,
447,PTL2BASICSEAL_94,% of pupils achieving standard 9-4 passes in both English and mathematics GCSEs and for whom English is an additional language,Yes - see 2017 methodology sheet for methodology change,,,Yes,
448,PTL2BASICSNMOB_94,% of non-mobile pupils achieving standard 9-4 passes in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,
449,PTFSM6CLA1ABASICS_95,% of disadvantaged pupils achieving strong 9-5 passes in GCSE English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
450,PTNOTFSM6CLA1ABASICS_95,% of non-disadvantaged pupils achieving strong 9-5 passes in GCSE English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
451,TBASICSLO_95,Number of pupils in low prior attainment band who achieved strong 9-5 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
452,PTBASICSLO_95,% of pupils in low prior attainment band who achieved strong 9-5 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
453,TBASICSAV_95,Number of pupils in middle prior attainment band who achieved strong 9-5 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
454,PTBASICSAV_95,% pupils in middle prior attainment band who achieved strong 9-5 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
455,TBASICSHI_95,Number of pupils in high prior attainment band who achieved strong 9-5 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
